gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	logFC	pct_B1	pct_A1	comparison	target	direction
Oip5os1	1.13172455585806e-203	12.4005641387652	0.345	0	2.5107309271711e-199	12.4005641387652	0.345	0	B1_vs_A1	vascular_gate	up_in_B1
Mrtfb	3.77632958441885e-202	12.6138235262251	0.343	0	8.37778718303322e-198	12.6138235262251	0.343	0	B1_vs_A1	vascular_gate	up_in_B1
Nkain2	1.04039352397298e-201	9.29808567967747	0.344	0	2.30811303293406e-197	9.29808567967747	0.344	0	B1_vs_A1	vascular_gate	up_in_B1
Ntm	5.96159714396535e-199	4.51631423671683	0.427	0.037	1.32258032638871e-194	4.51631423671683	0.427	0.037	B1_vs_A1	vascular_gate	up_in_B1
Aldoc	1.06225503760238e-197	3.05096118571843	0.547	0.102	2.35661280092087e-193	3.05096118571843	0.547	0.102	B1_vs_A1	vascular_gate	up_in_B1
Fgf14	1.72674449513479e-195	10.7133366031858	0.342	0.003	3.83078266245654e-191	10.7133366031858	0.342	0.003	B1_vs_A1	vascular_gate	up_in_B1
Rapgef4	1.82458686041746e-194	3.63947524489226	0.531	0.113	4.04784594983613e-190	3.63947524489226	0.531	0.113	B1_vs_A1	vascular_gate	up_in_B1
Lars2	3.59166256784114e-194	1.88050528128211	0.893	0.534	7.96810340675557e-190	1.88050528128211	0.893	0.534	B1_vs_A1	vascular_gate	up_in_B1
Atp5md	4.62534412171776e-193	12.5884027763449	0.329	0	1.02613259340309e-188	12.5884027763449	0.329	0	B1_vs_A1	vascular_gate	up_in_B1
Meg3	1.90713657662544e-192	2.91654913889692	0.541	0.103	4.23098249524354e-188	2.91654913889692	0.541	0.103	B1_vs_A1	vascular_gate	up_in_B1
Lrrtm4	4.70640661376348e-191	12.9059694733637	0.326	0	1.04411630726343e-186	12.9059694733637	0.326	0	B1_vs_A1	vascular_gate	up_in_B1
Map2	4.59505227939172e-190	4.8212335342121	0.43	0.049	1.01941234818305e-185	4.8212335342121	0.43	0.049	B1_vs_A1	vascular_gate	up_in_B1
Pde4d	9.47450885873606e-187	6.36800298745981	0.402	0.038	2.1019197903106e-182	6.36800298745981	0.402	0.038	B1_vs_A1	vascular_gate	up_in_B1
Lrrc4c	2.52157684531116e-185	10.6521269001151	0.321	0.001	5.5941182313228e-181	10.6521269001151	0.321	0.001	B1_vs_A1	vascular_gate	up_in_B1
Adgrb3	1.68594411208596e-181	8.72877267835436	0.318	0.003	3.7402670126627e-177	8.72877267835436	0.318	0.003	B1_vs_A1	vascular_gate	up_in_B1
Pcsk1n	1.23392279274298e-179	3.44204923695555	0.463	0.068	2.7374577157003e-175	3.44204923695555	0.463	0.068	B1_vs_A1	vascular_gate	up_in_B1
Dlgap1	3.65890137756323e-176	5.45287259896175	0.343	0.015	8.11727270612402e-172	5.45287259896175	0.343	0.015	B1_vs_A1	vascular_gate	up_in_B1
Cpe	8.50310803236555e-175	2.37254550975209	0.713	0.326	1.8864145169803e-170	2.37254550975209	0.713	0.326	B1_vs_A1	vascular_gate	up_in_B1
Nme2	7.74606275759752e-174	6.1050699266958	0.376	0.034	1.71846402277301e-169	6.1050699266958	0.376	0.034	B1_vs_A1	vascular_gate	up_in_B1
Snap25	1.09882049200815e-173	5.15496546161198	0.334	0.012	2.43773326152009e-169	5.15496546161198	0.334	0.012	B1_vs_A1	vascular_gate	up_in_B1
Tmtc2	2.31640188228532e-173	6.03747151531684	0.41	0.055	5.13893757584999e-169	6.03747151531684	0.41	0.055	B1_vs_A1	vascular_gate	up_in_B1
Hmcn1	7.27595728720678e-173	6.03439795813852	0.386	0.04	1.61417112416682e-168	6.03439795813852	0.386	0.04	B1_vs_A1	vascular_gate	up_in_B1
Atp6v0c	3.61882489412549e-169	6.84866739219813	0.319	0.01	8.0283630276174e-165	6.84866739219813	0.319	0.01	B1_vs_A1	vascular_gate	up_in_B1
Phactr1	1.80365057536224e-165	4.12483558565997	0.495	0.126	4.00139880144113e-161	4.12483558565997	0.495	0.126	B1_vs_A1	vascular_gate	up_in_B1
Ctnnd2	4.20758045039601e-163	6.25281385550678	0.299	0.005	9.33451722920355e-159	6.25281385550678	0.299	0.005	B1_vs_A1	vascular_gate	up_in_B1
Anks1b	1.08227974319379e-162	5.78927498568356	0.304	0.008	2.40103761027543e-158	5.78927498568356	0.304	0.008	B1_vs_A1	vascular_gate	up_in_B1
Aopep	1.98655988223836e-162	11.9598069429076	0.281	0	4.4071830987458e-158	11.9598069429076	0.281	0	B1_vs_A1	vascular_gate	up_in_B1
mt-Nd1	4.58253296243518e-162	-1.32727278049315	0.987	0.999	1.01663493771624e-157	-1.32727278049315	0.987	0.999	B1_vs_A1	vascular_gate	up_in_A1
Fam155a	9.30070068707145e-162	7.22151016154225	0.299	0.007	2.0633604474268e-157	7.22151016154225	0.299	0.007	B1_vs_A1	vascular_gate	up_in_B1
Micos10	1.73502202101543e-160	11.9597464768769	0.278	0	3.84914635362272e-156	11.9597464768769	0.278	0	B1_vs_A1	vascular_gate	up_in_B1
mt-Co1	2.53920997841647e-160	-1.09084319007632	1	1	5.63323733711694e-156	-1.09084319007632	1	1	B1_vs_A1	vascular_gate	up_in_A1
Tpt1	4.79351487665382e-160	-1.28607254044184	0.764	0.911	1.06344127538565e-155	-1.28607254044184	0.764	0.911	B1_vs_A1	vascular_gate	up_in_A1
Aes	3.51840935373052e-158	-11.7591853580055	0	0.418	7.80559115125116e-154	-11.7591853580055	0	0.418	B1_vs_A1	vascular_gate	up_in_A1
Cdk8	1.9223259107851e-157	4.50841635906763	0.469	0.115	4.26468003307674e-153	4.50841635906763	0.469	0.115	B1_vs_A1	vascular_gate	up_in_B1
mt-Co3	6.88306791799267e-156	-1.21874181086505	1	1	1.52700861760667e-151	-1.21874181086505	1	1	B1_vs_A1	vascular_gate	up_in_A1
Celf4	3.81448154186771e-155	5.24104048443323	0.322	0.02	8.4624273006335e-151	5.24104048443323	0.322	0.02	B1_vs_A1	vascular_gate	up_in_B1
Klf12	1.83779753250948e-154	5.24564695318215	0.427	0.087	4.07715382587228e-150	5.24564695318215	0.427	0.087	B1_vs_A1	vascular_gate	up_in_B1
Asic2	1.71615237577898e-152	6.87891683151213	0.276	0.003	3.80728404566567e-148	6.87891683151213	0.276	0.003	B1_vs_A1	vascular_gate	up_in_B1
Ndufb1-ps	7.6300544402428e-151	11.9564490555465	0.263	0	1.69272757756787e-146	11.9564490555465	0.263	0	B1_vs_A1	vascular_gate	up_in_B1
Sparcl1	3.88146415047585e-150	1.74685071536765	0.702	0.329	8.61102821783068e-146	1.74685071536765	0.702	0.329	B1_vs_A1	vascular_gate	up_in_B1
Grm3	6.07615321070534e-150	8.28226400438776	0.267	0.002	1.34799458979498e-145	8.28226400438776	0.267	0.002	B1_vs_A1	vascular_gate	up_in_B1
Atp5mpl	2.08944647939616e-149	12.1357039467286	0.26	0	4.63543701454037e-145	12.1357039467286	0.26	0	B1_vs_A1	vascular_gate	up_in_B1
9530026P05Rik	6.61515990394298e-149	5.40636657834161	0.392	0.067	1.46757322468975e-144	5.40636657834161	0.392	0.067	B1_vs_A1	vascular_gate	up_in_B1
Prkg1	1.46748346254733e-148	5.1248456650007	0.462	0.124	3.25561206166125e-144	5.1248456650007	0.462	0.124	B1_vs_A1	vascular_gate	up_in_B1
Kcnq5	2.25586433942421e-148	10.8993995433314	0.261	0.001	5.00463503701262e-144	10.8993995433314	0.261	0.001	B1_vs_A1	vascular_gate	up_in_B1
Enpp2	1.63729497697952e-147	-5.43138351824759	0.072	0.496	3.63233890642906e-143	-5.43138351824759	0.072	0.496	B1_vs_A1	vascular_gate	up_in_A1
Il1rapl1	1.82384508506527e-147	8.44266777975518	0.261	0.001	4.04620032121731e-143	8.44266777975518	0.261	0.001	B1_vs_A1	vascular_gate	up_in_B1
