groupAB	cell_type_major	mean_pct	se_pct	n_samples
A1	neuron	0.322277532278501	0.0492741918594301	2
A1	vascular	0.304467025142151	0.03291530100422	2
A1	glia	0.151130336555075	0.0743006979276836	2
A1	immune	0.222125106024273	0.0906595887828937	2
B1	neuron	0.798339901678128	0.00411329682824907	4
B1	glia	0.0902094061399106	0.00311963960817022	4
B1	immune	0.0777051823601795	0.000805949067824356	4
B1	vascular	0.0337455098217821	0.00105186829915587	4
